country,region,Confidence in estimate,combined figures (kg/capita/year),Household estimate (kg/capita/year),Retail estimate (kg/capita/year),Food service estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (tonnes/year),Food service estimate (tonnes/year),total_food_waste_tonnes,estimated_population,household_share_percentage,largest_waste_source
Afghanistan,Southern Asia,Very Low Confidence,126,82,16,28,3109153,594982,1051783,4755918,37916500,65.37,Household
Albania,Southern Europe,Very Low Confidence,127,83,16,28,238492,45058,79651,363201,2873398,65.66,Household
Algeria,Northern Africa,Very Low Confidence,135,91,16,28,3918529,673360,1190335,5782224,43060758,67.77,Household
Andorra,Southern Europe,Low Confidence,123,84,13,26,6497,988,1971,9456,77345,68.71,Household
Angola,Sub-Saharan Africa,Very Low Confidence,144,100,16,28,3169523,497755,879908,4547186,31695230,69.7,Household
Antigua and Barbuda,Latin America and the Caribbean,Low Confidence,113,74,13,26,7178,1244,2483,10905,97000,65.82,Household
Argentina,Latin America and the Caribbean,Very Low Confidence,116,72,16,28,3243563,700380,1238100,5182043,45049486,62.59,Household
Armenia,Western Asia,Very Low Confidence,137,93,16,28,275195,46259,81775,403229,2959086,68.25,Household
Aruba,Latin America and the Caribbean,Low Confidence,113,74,13,26,7858,1362,2718,11938,106189,65.82,Household
Australia,Australia and New Zealand,High Confidence,133,102,9,22,2563110,238248,546340,3347698,25128529,76.56,Household
Austria,Western Europe,High Confidence,76,39,9,28,349249,77289,254191,680729,8955103,51.31,Household
Azerbaijan,Western Asia,Very Low Confidence,137,93,16,28,934872,157148,277800,1369820,10052387,68.25,Household
Bahamas,Latin America and the Caribbean,Low Confidence,113,74,13,26,28792,4990,9960,43742,389081,65.82,Household
Bahrain,Western Asia,Low Confidence,171,132,13,26,216161,21026,41966,279153,1637583,77.43,Household
Bangladesh,Southern Asia,Very Low Confidence,84,65,16,3,10618233,2550080,544436,13712749,163357431,77.43,Household
Barbados,Latin America and the Caribbean,Low Confidence,113,74,13,26,21215,3677,7339,32231,286689,65.82,Household
Belarus,Eastern Europe,Very Low Confidence,112,68,16,28,646356,147838,261341,1055535,9505235,61.23,Household
Belgium,Western Europe,Medium Confidence,80,50,10,20,576036,112100,227371,915507,11520720,62.92,Household
Belize,Latin America and the Caribbean,Very Low Confidence,97,53,16,28,20564,6106,10794,37464,388000,54.89,Household
Benin,Sub-Saharan Africa,Very Low Confidence,144,100,16,28,1175297,184573,326280,1686150,11752970,69.7,Household
Bermuda,Northern America,Low Confidence,113,74,13,26,4606,801,1598,7005,62243,65.75,Household
Bhutan,Southern Asia,Very Low Confidence,123,79,16,28,60000,11935,21098,93033,759494,64.49,Household
Bolivia (Plurin. State of),Latin America and the Caribbean,Very Low Confidence,124,80,16,28,922012,180068,318315,1420395,11525150,64.91,Household
Bosnia and Herzegovina,Southern Europe,Very Low Confidence,127,83,16,28,273269,51628,91266,416163,3292398,65.66,Household
Botswana,Sub-Saharan Africa,Very Low Confidence,136,92,16,28,211802,36030,63693,311525,2302196,67.99,Household
Brazil,Latin America and the Caribbean,Very Low Confidence,104,60,16,28,12578308,3300862,5835112,21714282,209638467,57.93,Household
British Virgin Islands,Latin America and the Caribbean,Low Confidence,113,74,13,26,2218,384,767,3369,29973,65.84,Household
Brunei Darussalam,South-eastern Asia,Low Confidence,119,80,13,26,34739,5551,11080,51370,434238,67.63,Household
Bulgaria,Eastern Europe,Very Low Confidence,112,68,16,28,478667,109483,193539,781689,7039221,61.23,Household
Burkina Faso,Sub-Saharan Africa,Very Low Confidence,147,103,16,28,2086893,317831,561848,2966572,20261097,70.35,Household
Burundi,Sub-Saharan Africa,Very Low Confidence,147,103,16,28,1184127,180341,318799,1683267,11496379,70.35,Household
Cabo Verde,Sub-Saharan Africa,Very Low Confidence,144,100,16,28,54765,8601,15204,78570,547650,69.7,Household
Cambodia,South-eastern Asia,Very Low Confidence,130,86,16,28,1423397,257853,455820,2137070,16551128,66.61,Household
Cameroon,Sub-Saharan Africa,Very Low Confidence,144,100,16,28,2577064,404713,715433,3697210,25770640,69.7,Household
Canada,Northern America,Low Confidence,118,79,13,26,2938321,479284,956615,4374220,37193937,67.17,Household
Cayman Islands,Latin America and the Caribbean,Low Confidence,113,74,13,26,4797,831,1660,7288,64824,65.82,Household
Central African Republic,Sub-Saharan Africa,Very Low Confidence,147,103,16,28,487305,74216,131196,692717,4731117,70.35,Household
Chad,Sub-Saharan Africa,Very Low Confidence,147,103,16,28,1637656,249413,440901,2327970,15899573,70.35,Household
Chile,Latin America and the Caribbean,Low Confidence,113,74,13,26,1400946,242800,484611,2128357,18931703,65.82,Household
China,Eastern Asia,Very Low Confidence,126,64,16,46,91646213,22424705,65377741,179448659,1431972078,51.07,Household
"China, Hong Kong SAR",Eastern Asia,Low Confidence,110,71,13,26,530985,95267,190147,816399,7478662,65.04,Household
"China, Macao SAR",Eastern Asia,Low Confidence,110,71,13,26,45728,8204,16375,70307,644056,65.04,Household
Colombia,Latin America and the Caribbean,Very Low Confidence,114,70,16,28,3545499,787320,1391787,5724606,50649986,61.93,Household
Comoros,Sub-Saharan Africa,Very Low Confidence,144,100,16,28,84742,13308,23526,121576,847420,69.7,Household
Congo,Sub-Saharan Africa,Very Low Confidence,144,100,16,28,535851,84152,148760,768763,5358510,69.7,Household
Costa Rica,Latin America and the Caribbean,Very Low Confidence,116,72,16,28,365609,78946,139556,584111,5077903,62.59,Household
Côte d’Ivoire,Sub-Saharan Africa,Very Low Confidence,144,100,16,28,2561140,402212,711012,3674364,25611400,69.7,Household
Croatia,Southern Europe,Low Confidence,123,84,13,26,348070,52915,105613,506598,4143690,68.71,Household
Cuba,Latin America and the Caribbean,Very Low Confidence,116,72,16,28,820910,177259,313349,1311518,11401528,62.59,Household
Curaçao,Latin America and the Caribbean,Low Confidence,113,74,13,26,12079,2093,4178,18350,163230,65.83,Household
Cyprus,Western Asia,Low Confidence,134,95,13,26,113306,15356,30649,159311,1192695,71.12,Household
Czechia,Eastern Europe,Low Confidence,109,70,13,26,746840,136943,273327,1157110,10669143,64.54,Household
Dem. People's Rep. Korea,Eastern Asia,Very Low Confidence,125,81,16,28,2070528,401425,709621,3181574,25562074,65.08,Household
Dem. Rep. of the Congo,Sub-Saharan Africa,Very Low Confidence,147,103,16,28,8912903,1357425,2399593,12669921,86533039,70.35,Household
Denmark,Northern Europe,High Confidence,132,81,30,21,469449,172003,119134,760586,5795667,61.72,Household
Djibouti,Sub-Saharan Africa,Very Low Confidence,144,100,16,28,96962,15227,26918,139107,969620,69.7,Household
Dominica,Latin America and the Caribbean,Very Low Confidence,116,72,16,28,5201,1123,1985,8309,72236,62.59,Household
Dominican Republic,Latin America and the Caribbean,Very Low Confidence,116,72,16,28,777849,167960,296913,1242722,10803458,62.59,Household
Ecuador,Latin America and the Caribbean,Very Low Confidence,116,72,16,28,1258415,271729,480349,2010493,17477986,62.59,Household
Egypt,Northern Africa,Very Low Confidence,135,91,16,28,9136941,1570093,2775538,13482572,100405945,67.77,Household
El Salvador,Latin America and the Caribbean,Very Low Confidence,124,80,16,28,516828,100936,178430,796194,6460350,64.91,Household
Equatorial Guinea,Sub-Saharan Africa,Very Low Confidence,136,92,16,28,124670,21208,37491,183369,1355109,67.99,Household
